food_name,serving_size(ml),energy_kcal,protein_g,fat_g,carb_g,sugars_g,sodium_mg,tags,description
아이스 아메리카노,355,10.65,0.53,0.18,1.74,0,3.55,"저칼로리(11kcal), 무설탕(0g), 무지방(0.2g), 집중력향상, 신진대사촉진","1잔(355ml 기준)에 약 11kcal, 당류 0g, 지방 0.2g으로 구성되어 있어 칼로리 부담 없이 즐길 수 있는 대표적인 음료입니다. 카페인 성분은 집중력을 높이고 신진대사를 촉진하여, 업무나 공부 시작 전 또는 식후에 마시기 좋습니다."
카페라떼,355,134.9,6.04,6.5,12.67,7.95,71,"단백질(6.0g), 지방(6.5g), 탄수화물(12.7g), 에너지보충, 포만감","1잔(355ml 기준)에 135kcal이며, 우유가 포함되어 단백질 6.0g, 지방 6.5g, 탄수화물 12.7g을 균형 있게 공급합니다. 단순한 커피의 각성 효과를 넘어, 출출할 때 가벼운 포만감과 함께 에너지를 보충하고 싶은 분들에게 좋은 선택입니다."
콜라,355,152.65,0,0,38.34,38.34,10.65,"고칼로리(153kcal), 고탄수화물(38.3g), 당류주의, 빠른에너지","1캔(355ml 기준)에 153kcal이며, 38.3g의 탄수화물이 모두 당류로 구성된 대표적인 고당류 음료입니다. 빠르게 흡수되는 당은 일시적인 에너지 부스팅 효과를 주지만, 혈당 스파이크를 유발할 수 있어 혈당 관리가 필요한 분들은 섭취를 피해야 합니다."
사이다,355,142,0,0,35.5,35.5,10.65,"고칼로리(142kcal), 고탄수화물(35.5g), 당류주의, 에너지부스팅","1캔(355ml 기준)에 142kcal이며, 35.5g의 탄수화물이 모두 당류로 이루어져 있어 빠른 에너지원으로 작용합니다. 운동 직전이나 급격한 에너지 저하를 느낄 때 단기적인 부스팅 효과를 볼 수 있지만, 잦은 섭취는 피하는 것이 좋습니다."
제로콜라,355,1.06,0.35,0,0,0,35.5,"초저칼로리(1kcal), 무설탕(0g), 칼로리컷, 대체음료, 체중조절","1캔(355ml 기준)에 약 1kcal, 당류 0g으로 구성되어 있어 칼로리 섭취 없이 탄산음료의 맛을 즐길 수 있습니다. 다이어트 중이거나 당 섭취를 제한해야 할 때, 일반 탄산음료의 훌륭한 대체제가 될 수 있습니다."
우유,200,132,6.12,7.5,10,10,104,"고단백(6.1g), 지방(7.5g), 칼슘보충, 영양균형, 성장기음료","1잔(200ml 기준)에 132kcal이며, 단백질 6.1g, 지방 7.5g, 탄수화물 10g을 균형 있게 함유한 영양 밀도 높은 음료입니다. 풍부한 칼슘과 단백질은 성장기 어린이의 뼈 건강과 발달에 필수적이며, 성인에게는 훌륭한 영양 보충원입니다."
두유,200,130,6,6.4,12.2,7.8,160,"식물성단백질(6.0g), 영양균형, 유당불내증대안","1잔(200ml 기준)에 130kcal이며, 6.0g의 양질의 식물성 단백질을 공급합니다. 우유 섭취가 어려운 유당불내증을 가진 분들이 단백질과 칼슘을 보충하기 위한 훌륭한 대체 음료가 될 수 있습니다."
오렌지주스,250,115,1.25,0,27.5,22.5,2.5,"고탄수화물(27.5g), 비타민C보충, 당류주의, 아침음료","1잔(250ml 기준)에 115kcal이며, 대부분의 에너지가 27.5g의 탄수화물(당류)에서 나옵니다. 비타민C를 간편하게 보충하여 아침에 활력을 더해주지만, 액상과당 함량이 높을 수 있어 혈당 관리가 필요하다면 섭취량 조절이 중요합니다."
녹차,250,0,0.08,0,0,0,0,"초저칼로리(0kcal), 무설탕(0g), 항산화, 수분보충, 체지방감소보조","1잔(250ml 기준)에 0kcal로 구성되어 있어 수분 보충이 필요할 때 칼로리 걱정 없이 마실 수 있는 음료입니다. 녹차의 카테킨 성분은 항산화 작용을 통해 체지방 감소와 세포 건강에 도움을 줄 수 있어, 건강 관리에 신경 쓰는 분들에게 추천됩니다."
식혜,250,217.5,3.82,4.38,40.52,28.4,5,"고칼로리(218kcal), 고탄수화물(40.5g), 에너지보충, 소화보조","1잔(250ml 기준)에 218kcal이며, 40.5g의 높은 탄수화물 함량으로 빠른 에너지 공급원 역할을 합니다. 엿기름에 포함된 소화 효소가 식후 소화를 돕는 역할을 하지만, 당류 함량(28.4g)이 매우 높아 명절 등 특별한 날에 소량만 즐기는 것이 바람직합니다."
