food_code,food_name,one_serving_size(g),energy_kcal,water_g,protein_g,fat_g,carb_g,sugars_g,fiber_g,sodium_mg,tags,description
5199,갈비탕,600,339.0,247.0,24.9,20.2,12.5,1.2,2.8,705.0,"고단백(24.9g), 고지방(20.2g), 기력회복, 든든한한끼","1인분(600g)에 339kcal이며, 24.9g의 풍부한 단백질과 20.2g의 지방을 통해 에너지를 공급하는 국물 요리입니다. 몸이 허하거나 기력 회복이 필요할 때, 든든한 한 끼 식사로 영양을 보충하기에 좋습니다."
1007,김밥,200,270.9,106.1,9.5,7.1,41.6,1.4,3.0,480.3,"탄수화물(41.6g), 영양균형, 간편식, 빠른식사","1인분(200g)에 271kcal이며, 41.6g의 탄수화물을 중심으로 단백질과 지방, 채소가 균형을 이루는 식사입니다. 시간이 없을 때 다양한 영양소를 간편하게 섭취해야 하는 바쁜 직장인이나 학생들에게 훌륭한 선택입니다."
1017,김치볶음밥,500,835.0,332.5,23.8,39.1,97.4,38.8,10.8,1975.0,"고칼로리(835kcal), 고탄수화물(97.4g), 고지방(39.1g), 에너지충전","1인분(500g)에 835kcal이며, 97.4g의 탄수화물과 39.1g의 지방으로 구성된 대표적인 고에너지 식단입니다. 높은 활동량으로 많은 칼로리 소모 후 에너지를 빠르게 보충해야 할 때 효과적이지만, 나트륨 함량이 높아 섭취 빈도 조절이 필요합니다."
6266,김치찌개,400,177.8,236.9,13.6,8.6,11.4,3.5,5.8,1074.0,"단백질(13.6g), 저탄수화물(11.4g), 한국인의소울푸드, 고나트륨(주의)","1인분(400g)에 178kcal이며, 돼지고기나 참치 등을 통해 13.6g의 단백질을 공급하는 국물 요리입니다. 밥과 함께 먹기 좋은 대표적인 한식이지만, 국물의 나트륨 함량(1074mg)이 높아 과다 섭취는 피하는 것이 좋습니다."
10462,닭갈비,400,606.3,276.9,50.0,22.5,50.8,16.0,6.8,1403.1,"고단백(50.0g), 고탄수화물(50.8g), 근력운동, 단백질보충","1인분(400g)에 606kcal이며, 50.0g의 매우 높은 단백질과 50.8g의 탄수화물을 동시에 공급합니다. 닭고기를 통해 근육 합성에 필요한 단백질을 충분히 섭취할 수 있어, 근력 운동 후 식사 메뉴로 매우 효과적입니다."
12550,돈가스,200,512.0,82.0,26.3,30.5,29.1,4.3,1.7,523.2,"고단백(26.3g), 고지방(30.5g), 고칼로리(512kcal), 든든한특식","1인분(200g)에 512kcal이며, 26.3g의 단백질과 30.5g의 지방으로 구성된 고칼로리 튀김 요리입니다. 높은 포만감과 에너지를 제공하여, 평소 식사량이 많거나 특별한 날 든든한 한 끼 식사로 적합합니다."
6275,된장찌개,400,178.5,233.3,14.4,6.0,17.4,4.6,6.6,1591.3,"단백질(14.4g), 저지방(6.0g), 식물성단백질, 건강한한식","1인분(400g)에 179kcal이며, 두부와 된장을 통해 14.4g의 식물성 단백질을 공급하는 건강한 찌개입니다. 지방 함량(6.0g)이 낮아 부담이 적어, 균형 잡힌 한식 식단을 구성하고자 하는 분들에게 매일 먹어도 좋은 메뉴입니다."
10467,떡볶이,200,284.2,95.1,7.5,4.8,52.7,7.5,2.3,732.7,"고탄수화물(52.7g), 저지방(4.8g), 빠른에너지, 스트레스해소","1인분(200g)에 284kcal이며, 주된 에너지가 52.7g의 높은 탄수화물에서 나오는 대표적인 간식입니다. 빠르게 흡수되는 탄수화물은 즉각적인 에너지를 공급하며, 매콤달콤한 맛은 스트레스 해소에 도움을 줄 수 있습니다."
3147,라멘,400,347.2,326.6,16.7,15.0,36.2,3.8,4.5,1523.2,"단백질(16.7g), 고지방(15.0g), 탄수화물(36.2g), 고나트륨(주의)","1인분(400g)에 347kcal이며, 차슈 등의 고명을 통해 16.7g의 단백질과 15.0g의 지방을 제공하는 국물 면 요리입니다. 진한 국물 맛이 특징이지만 나트륨 함량(1523mg)이 매우 높아, 국물 섭취량을 조절하는 것이 건강에 이롭습니다."
3148,라면,550,594.7,254.4,13.9,18.5,92.1,1.5,6.8,1270.0,"고탄수화물(92.1g), 고지방(18.5g), 고나트륨(주의), 간편식","1인분(550g)에 595kcal이며, 92.1g의 높은 탄수화물과 18.5g의 지방으로 구성된 고칼로리 간편식입니다. 빠르고 간단하게 에너지를 보충할 수 있지만, 영양 균형이 좋지 않고 나트륨 함량이 높아 잦은 섭취는 권장되지 않습니다."
