food_name,serving_size(g),energy_kcal,water_g,protein_g,fat_g,carb_g,sugars_g,fiber_g,sodium_mg,tags,description
배추김치,100,38,88.9,1.98,0.43,6.49,2.4,2.5,551,"저칼로리(38kcal), 저지방(0.4g), 식이섬유(2.5g), 장건강, 소화보조",100g당 38kcal의 낮은 열량과 0.4g의 적은 지방으로 구성되어 있어 식단 관리에 부담 없이 추가할 수 있습니다. 2.5g의 식이섬유와 발효 유산균은 장 운동을 촉진하여 소화 기능 개선이 필요한 분들에게 좋은 선택입니다.
깍두기,100,33,90.5,1.56,1.06,4.24,2.54,2.1,808,"초저칼로리(33kcal), 저탄수화물(4.2g), 식이섬유(2.1g), 소화촉진",100g당 33kcal에 불과하고 탄수화물 함량도 4.2g으로 매우 낮아 칼로리 제한 식단에 적합합니다. 무에 포함된 소화 효소와 2.1g의 식이섬유는 든든한 식사의 소화를 돕는 역할을 합니다.
총각김치,100,42,87.6,1.92,0.29,7.89,3.0,2.4,630,"저칼로리(42kcal), 무지방(0.3g), 식이섬유(2.4g), 식욕증진","100g당 42kcal이며 지방이 0.3g으로 거의 없어 깔끔한 영양 프로필을 가집니다. 2.4g의 식이섬유를 공급하며, 아삭한 식감은 식사의 만족도를 높여 식욕 조절에 간접적인 도움을 줍니다."
오이소박이,100,37,89.8,1.76,0.37,6.66,3.17,3.1,302,"저칼로리(37kcal), 저지방(0.4g), 식이섬유(3.1g), 수분보충",100g당 37kcal의 낮은 열량과 0.4g의 미미한 지방으로 구성되어 있어 가벼운 반찬으로 활용하기 좋습니다. 3.1g의 식이섬유와 풍부한 수분은 포만감을 유지하고 신진대사를 원활하게 하는 데 기여합니다.
파김치,100,49,86.0,2.5,0.58,8.51,2.8,4.6,655,"고섬유질(4.6g), 저지방(0.6g), 영양보충, 장운동촉진","100g당 49kcal이며, 4.6g의 풍부한 식이섬유를 통해 효과적으로 장 운동을 촉진합니다. 식이섬유 섭취량을 늘려야 하거나 변비로 고생하는 분들에게 특히 유익한 반찬이 될 수 있습니다."
갓김치,100,37,86.4,3.26,0.4,7.07,2.46,3.0,720,"식물성단백질(3.3g), 저칼로리(37kcal), 식이섬유(3.0g), 영양균형","100g당 37kcal의 낮은 열량에도 불구하고 식물성 단백질이 3.3g으로 비교적 풍부합니다. 단백질과 식이섬유를 동시에 보충할 수 있어, 채소 위주 식단에서 영양 균형을 맞추고자 할 때 좋은 선택입니다."
열무김치,100,36,89.0,2.39,0.38,5.87,0.68,2.7,583,"저칼로리(36kcal), 저탄수화물(5.9g), 수분공급, 무기질보충","100g당 36kcal, 탄수화물 5.9g으로 구성되어 칼로리 제한 식단에 부담 없이 활용할 수 있습니다. 국물과 함께 섭취 시 땀으로 손실된 수분과 무기질을 보충하는 데 도움을 주어 여름철 건강 관리에 유용합니다."
백김치,100,16,94.5,0.95,0.07,3.0,1.04,1.9,395,"초저칼로리(16kcal), 무지방(0.1g), 저자극, 수분보충","100g당 16kcal, 지방 0.1g으로 구성되어 있어 칼로리 섭취를 최소화해야 할 때 이상적인 반찬입니다. 자극적이지 않고 수분 함량이 높아, 소화 기능이 약하거나 단식 후 보식이 필요한 경우에 적합합니다."
콩나물무침,100,69,86.9,3.86,4.54,3.2,0.5,1.7,387,"단백질(3.9g), 저탄수화물(3.2g), 식물성단백질, 피로회복",탄수화물(3.2g)은 낮으면서 3.9g의 식물성 단백질을 공급하는 균형 잡힌 반찬입니다. 콩나물의 아스파라긴산 성분은 운동이나 과로 후 피로를 회복하는 데 긍정적인 영향을 줄 수 있습니다.
시금치나물,100,69,86.2,3.74,4.46,3.36,0.1,2.0,136,"단백질(3.7g), 저탄수화물(3.4g), 철분보충, 영양공급","100g당 3.7g의 식물성 단백질과 함께 풍부한 철분을 공급하여 영양 밀도가 높습니다. 철분 결핍성 빈혈을 예방하거나, 식단을 통해 필수 미네랄을 보충하고자 하는 분들에게 특히 권장됩니다."
더덕무침,100,144,63.6,2.87,1.87,28.93,13.47,4.7,831,"고탄수화물(28.9g), 고섬유질(4.7g), 에너지공급, 기력회복","100g당 144kcal이며, 28.9g의 탄수화물을 통해 신체 활동에 필요한 에너지를 공급합니다. 4.7g의 풍부한 섬유질과 사포닌 성분은 기력이 떨어졌을 때 원기 회복을 돕는 역할을 합니다."
무생채,100,49,85.9,2.43,1.11,7.33,1.78,4.9,821,"저칼로리(49kcal), 고섬유질(4.9g), 소화기능보조","100g당 49kcal의 낮은 열량과 4.9g의 풍부한 식이섬유로 장 건강에 기여합니다. 무에 포함된 소화 효소는 탄수화물 분해를 도와, 과식했거나 속이 더부룩할 때 소화를 원활하게 하는 데 도움을 줍니다."
고사리나물,100,34,82.3,2.7,1.65,3.57,0.43,2.5,166,"초저칼로리(34kcal), 저탄수화물(3.6g), 포만감유지","100g당 34kcal, 탄수화물 3.6g으로 열량 부담 없이 섭취할 수 있는 나물 반찬입니다. 쫄깃한 식감과 2.5g의 식이섬유는 포만감을 오래 유지시켜 주어, 식사량 조절이 필요한 분들에게 좋은 선택입니다."
